,log
153,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
154,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
155,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
156,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
157,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
158,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
159,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
160,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
161,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
162,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
163,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
164,"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
165,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
166,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
167,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
168,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
169,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
170,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
171,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
172,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
173,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
174,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
175,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
176,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
177,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
178,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
179,"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
180,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
181,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
182,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
183,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
184,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
185,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
186,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
187,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
188,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
189,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
190,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
191,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
192,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
193,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
194,"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
195,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
196,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
197,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
198,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
199,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
200,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
201,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
202,"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
